map_no,in_orange,usgs_no,site_desc,drainage,dev1992,ag1992,for1992,dev2011,ag2011,for2011,delta_dev,delta_ag,delta_for,pop1990,pop2010
S1,1,2085000,"Eno River at Hillsborough, NC",66,6.4,23.3,70.3,12.5,24.3,63.2,6.1,1,-7.1,144,182
S2,0,2085070,"Eno River near Durham, NC",141,11,15.8,73.2,18.1,17.1,64.8,7.1,1.3,-8.4,276,372
S3,0,208521324,"Little River at SR 1461 near Orange Factory, NC",78.2,0.7,24.4,74.8,5.9,27.5,66.7,5.1,3,-8.2,74,103
S4,0,2085500,"Flat River at Bahama, NC",149,2.5,26.8,70.7,7.1,28,65,4.5,1.2,-5.7,77,118
S5,1,2096846,"Cane Creek near Orange Grove, NC",7.54,0,15.8,84.2,4.4,17,78.5,4.4,1.2,-5.7,59,87
S6,0,2096960,"Haw River near Bynum, NC",1275,11.4,27.6,61,19.7,27.6,52.7,8.2,0,-8.2,306,429
S7,0,2097314,"New Hope Creek near Blands, NC",75.9,26.8,5.3,67.9,41.6,5.3,53.1,14.8,0,-14.8,991,1316
S8,0,209741955,"Northeast Creek at SR 1100 near Genlee, NC",21.1,27.4,6.9,65.7,59.8,1.8,38.3,32.4,-5,-27.4,522,985
S9,1,2097464,"Morgan Creek near White Cross, NC",8.35,0.7,17.7,81.6,5.3,19.3,75.4,4.6,1.6,-6.2,136,183
S10,0,2097521,"Morgan Creek near Farrington, NC",46,11.9,9.2,78.9,20,10.7,69.3,8.1,1.5,-9.7,595,844
S11,0,209782609,"White Oak Creek at mouth near Green Level, NC",11.9,0.7,11.6,87.6,38.7,9.3,52,37.9,-2.3,-35.6,133,1355
S12,0,2098198,"Haw River below B. Everett Jordan Dam near Moncure, NC",1689,11.3,22.2,66.5,21,22.5,56.5,9.7,0.3,-10,330,506
S13,0,210215985,"Cape Fear River at State Highway 42 near Brickhaven, NC",3160,8.5,20,71.6,16.8,21.7,61.5,8.3,1.8,-10.1,243,363
L1,0,208524845,"Little River Reservoir at Dam near Bahama, NC",97.7,1.7,24.5,73.8,6.9,27.1,66,5.2,2.6,-7.8,89,120
L2,0,2086490,"Lake Michie at Dam near Bahama, NC",167,2.3,26.1,71.5,6.8,27.2,65.9,4.5,1.1,-5.6,74,115
L3,1,209684980,"Cane Creek Reservoir at Dam near White Cross, NC",31.4,0.2,26.9,72.9,5.5,25.1,69.5,5.2,-1.8,-3.4,61,86
L4,0,209699999,"Jordan Lake, Haw River arm near Hanks Chapel, NC",1303,11.2,27.2,61.6,19.4,27.2,53.4,8.2,0,-8.2,302,423
L5,1,209749990,"University Lake at Intakes near Chapel Hill, NC",30,2.4,11.6,86,7.4,14.2,78.4,5,2.6,-7.7,209,302
L6,0,209768310,"Jordan Lake at Buoy 12 at Farrington, NC",231,18.4,5.6,76,35.7,6.1,58.2,17.3,0.5,-17.8,661,1070
L7,0,209799150,"Jordan Lake above U.S. Highway 64 at Wilsonville, NC",285,15.1,5.6,79.3,31.8,6.4,61.9,16.7,0.8,-17.5,553,952